area,pre,shock,post,class
CD.SK,20.59732234809475,18.022657054582908,66.94129763130793,"Temporary decline, rebounded"
CD.TO,2.610966057441253,3.263707571801567,-32.637075718015666,Improvement then reversal
CF.BGF,7.070707070707071,30.303030303030305,65.65656565656566,Relative persistent improvement
CG.BZV,18.675352877307272,20.62975027144408,53.20304017372422,Relative persistent improvement
CH.AG,9.924416694051923,3.9434768320736113,15.44528425895498,"Temporary decline, rebounded"
CH.BE,7.480977855453015,14.706195784223876,27.60075875444916,Relative persistent improvement
CH.BL,14.566642388929349,6.372906045156591,19.118718135469774,"Temporary decline, rebounded"
CH.BS,7.508507841619101,16.340457712876102,15.035021697246881,Relative persistent improvement
CH.FR,11.128958237723726,4.302432308398348,6.310234052317577,Relative persistent decline
CH.GE,-5.197112715158245,6.163242642976124,21.321488062187676,Relative persistent improvement
CH.GR,13.075060532687653,37.530266343825666,53.26876513317191,Relative persistent improvement
CH.JU,32.6508024349751,17.293857221914777,2.7670171555063643,Relative persistent decline
CH.LU,33.7520811260784,49.19025276222188,41.6225215680339,Relative persistent improvement
CH.NE,-8.784510577267838,3.1373252061670858,2.6891358910003587,Relative persistent improvement
CH.SG,3.8295243977764057,25.633106856084,33.35392217418159,Relative persistent improvement
CH.SH,1.8867924528301898,56.60377358490566,47.16981132075472,Relative persistent improvement
CH.SO,41.301627033792236,-21.90237797246558,75.0938673341677,"Temporary decline, rebounded"
CH.SZ,109.45273631840796,12.437810945273629,174.12935323383084,"Temporary decline, rebounded"
CH.TG,26.353276353276357,46.2962962962963,110.39886039886039,Relative persistent improvement
CH.TI,25.415226842046593,16.1631925091963,22.85141009920856,Relative persistent decline
CH.VD,1.1772080294760658,3.401672552706814,9.020165420660765,Relative persistent improvement
CH.VS,57.45554035567716,27.359781121751027,70.67943456452349,"Temporary decline, rebounded"
CH.ZG,44.50724125750618,-105.96962204168139,-15.895443306252206,Relative persistent decline
CH.ZH,7.830593570329581,11.478662239857478,5.870920722325694,Improvement then reversal
CI.AB,-5.453741463174962,-10.072225224782589,-17.44214612096497,Relative persistent decline
CI.LC,-5.434782608695652,13.58695652173913,21.73913043478261,Relative persistent improvement
CI.SM,72.55520504731861,67.03470031545741,55.20504731861199,Relative persistent decline
CI.SV,122.0196353436185,80.64516129032258,77.13884992987377,Relative persistent decline
CI.VB,45.85537918871252,33.06878306878307,127.86596119929453,"Temporary decline, rebounded"
CL.AI,104.31654676258992,89.92805755395683,125.89928057553956,"Temporary decline, rebounded"
CL.AN,0.852514919011082,-11.508951406649615,-15.34526854219949,Relative persistent decline
CL.AP,4.983388704318937,85.8250276854928,58.13953488372093,Relative persistent improvement
CL.AR,11.791518034086405,3.468093539437178,29.231074118113355,"Temporary decline, rebounded"
CL.AT,95.9264126149803,59.13272010512485,144.5466491458607,"Temporary decline, rebounded"
CL.BI,1.8929282143377175,0.12134155220113563,11.64878901130903,"Temporary decline, rebounded"
CL.CO,7.042253521126762,11.737089201877934,37.55868544600939,Relative persistent improvement
CL.LI,221.05263157894734,271.9298245614035,684.2105263157895,Relative persistent improvement
CL.LL,18.97642323174238,-1.4376078205865461,-17.25129384703853,Relative persistent decline
CL.LR,-16.2506118453255,-2.2026431718061676,-29.368575624082233,Improvement then reversal
CL.MA,33.76623376623377,6.493506493506491,17.316017316017316,Relative persistent decline
CL.ML,24.57782979434877,-0.8359806052499581,24.24343755224879,Relative persistent decline
CL.NB,51.72413793103449,86.20689655172416,660.9195402298851,Relative persistent improvement
CL.RM,-0.921112203956099,-9.09403150515979,-16.978127488173854,Relative persistent decline
CL.TA,13.182674199623353,-28.248587570621467,56.497175141242934,"Temporary decline, rebounded"
CL.VS,9.784735812133073,-8.408757338551858,-11.92514677103718,Relative persistent decline
CM.AD,4.335260115606936,-19.86994219653179,-59.60982658959537,Relative persistent decline
CM.CE,-10.308204914618909,-14.056643065389421,-9.6314035818409,"Temporary decline, rebounded"
CM.EN,35.245335176226675,103.66275051831376,58.74222529371114,Relative persistent improvement
CM.LT,-4.0241448692152915,14.084507042253524,47.283702213279675,Relative persistent improvement
CM.NW,74.1389375364857,109.4570928196147,81.72796263864565,Relative persistent improvement
CM.OU,2.566923359002567,-19.710304363769712,-20.168683535020172,Relative persistent decline
CM.SW,1.893939393939394,-14.88095238095238,27.056277056277057,"Temporary decline, rebounded"
CN.AH,1.9273745742697936,16.760839652194278,37.20564842735993,Relative persistent improvement
CN.BJ,-8.414481704964583,-8.402585945256357,-6.471936295313199,Relative persistent improvement
CN.CQ,-0.05854987917434036,6.6267817792776,23.073975110978633,Relative persistent improvement
CN.FJ,11.445797897110365,15.578662287689026,33.11806083184236,Relative persistent improvement
CN.GD,22.328413752273015,40.04552466440269,37.7472277943153,Relative persistent improvement
CN.GS,-11.482219445476343,1.801132462035505,11.98878795042383,Relative persistent improvement
CN.GX,13.824125100089493,40.83062502943808,54.57821110640102,Relative persistent improvement
CN.GZ,45.939431544280836,87.7025511299907,158.69985442569745,Relative persistent improvement
CN.HA,13.42670030901823,21.177671306665154,45.07697105434752,Relative persistent improvement
CN.HB,1.0899987521042325,-4.673242313344081,-6.137609795727103,Relative persistent decline
CN.HE,-6.458669722381375,12.370435960206262,29.81926141986562,Relative persistent improvement
CN.HI,26.006711409395972,79.59811441355066,133.4292106104187,Relative persistent improvement
CN.HL,-16.67707744628533,-19.408667717659654,-23.523404424085584,Relative persistent decline
CN.HN,11.228412511778785,11.184632960581727,20.68062608927693,"Temporary decline, rebounded"
CN.JL,-10.751459846657303,-27.113837800788886,-22.242082557772296,Relative persistent decline
CN.JS,7.176866899367182,3.441907563927358,15.341695464080848,"Temporary decline, rebounded"
CN.JX,26.067475251349173,29.46662105042434,37.13677147366214,Relative persistent improvement
CN.LN,-11.554583854126895,-21.561858218222884,-16.27689203798745,Relative persistent decline
CN.NM,9.706467079873699,21.854169103028884,41.95415740849023,Relative persistent improvement
CN.NX,24.39218178928969,68.13125695216908,135.0707134911807,Relative persistent improvement
CN.QH,35.31949312483149,65.38150444863845,110.54192504718253,Relative persistent improvement
CN.SC,11.64164992317693,17.260568096757673,29.826392992685395,Relative persistent improvement
CN.SD,18.681727730960734,16.127858584218906,11.251018049207811,Relative persistent decline
CN.SH,1.453581468170658,-0.14233355869480124,-2.0994199907483186,Relative persistent decline
CN.SN,9.732220350232296,-1.8188083933221013,1.3720835247868484,Relative persistent decline
CN.SX,15.389333407677938,9.374390141905268,47.394686219298,"Temporary decline, rebounded"
CN.TJ,-3.2767615193771036,-19.58255098484888,-22.41720975954812,Relative persistent decline
CN.XJ,-4.005493247882811,9.098191805905243,71.75555046921492,Relative persistent improvement
CN.XZ,25.89250686543743,70.61592781482935,113.77010592389172,Relative persistent improvement
CN.YN,-1.1393166660266014,25.026562720022532,41.15621439635419,Relative persistent improvement
CN.ZJ,8.835564715536254,26.580301134365463,50.107275369193566,Relative persistent improvement
CO.AMA,42.5531914893617,10.638297872340425,42.5531914893617,"Temporary decline, rebounded"
CO.ANT,-4.230407657465174,-2.3502264763695413,-0.7477993333903086,Relative persistent improvement
